300,에스프레소,,,
301,라벤더 카페 브레베,300,,
302,럼 샷 코르타도,300,,
303,바닐라 빈 라떼,300,,
304,바닐라 스타벅스 더블샷,300,,
305,바닐라 플랫 화이트,300,,
306,블론드 바닐라 더블샷 마끼아또,300,,
307,블론드 에스프레소 라떼,300,,
308,스타벅스 돌체 라떼,300,,
309,아이스 라벤더 카페 브레베,300,,
310,아이스 바닐라 빈 라떼,300,,
311,아이스 블론드 에스프레소 라떼,300,,
312,아이스 스타벅스 돌체라떼,300,,
313,아이스 카라멜 마끼아또,300,,
314,아이스 카페 아메리카노,300,,
315,아이스 카페라떼,300,,
316,아이스 카페모카,300,,
317,아이스 카푸치노,300,,
318,아이스 화이트 초콜릿 모카,300,,
319,에스프레소,300,,
320,에스프레소 마끼아또,300,,
321,에스프레소 콘파나,300,,
322,제주 별다방 땅콩라떼,300,,
323,카라멜 마끼아또,300,,
324,카페 라떼,300,,
325,카페 모카,300,,
326,카페 아메리카노,300,,
327,카푸치노,300,,
328,커피 스타벅스 더블샷,300,,
329,클래식 아포가토,300,,
330,헤이즐넛 스타벅스 더블샷,300,,
331,화이트 초콜릿 모카,300,,
