700,티(티바나),,,
701,돌체 블랙 밀크 티,700,,
702,라임 패션 티,700,,
703,민트 블렌드 티,700,,
704,별궁 오미자 유스베리 티,700,,
705,스타벅스 파인애플 선셋 아이스 티,700,,
706,아이스 돌체 블랙 밀크 티,700,,
707,아이스 라임 패션 티,700,,
708,아이스 민트 블렌드 티,700,,
709,아이스 별궁 오미자 유스베리 티,700,,
710,아이스 얼 그레이 티,700,,
711,아이스 유스베리 티,700,,
712,아이스 유자 민트 티,700,,
713,아이스 잉글리쉬 브렉퍼스트 티,700,,
714,아이스 자몽 허니 블랙 티,700,,
715,아이스 제주 유기 녹차,700,,
716,아이스 제주 유기농 말차로 만든 라떼,700,,
717,아이스 차이 티 라떼,700,,
718,아이스 캐모마일 블렌드 티,700,,
719,아이스 콩고물 블랙 밀크 티,700,,
720,아이스 패션 푸르트 티,700,,
721,아이스 푸를 청귤 민트 티,700,,
722,아이스 히비스커스 블렌드 티,700,,
723,얼 그레이 티,700,,
724,유스베리 티,700,,
725,유자 민트 티,700,,
726,잉글리쉬 브렉퍼스트 티,700,,
727,자몽 허니 블랙 티,700,,
728,제주 유기 녹차,700,,
729,제주 유기농 말차로 만든 라떼,700,,
730,차이 티 라떼,700,,
731,캐모마일 블렌드 티,700,,
732,콩고물 블랙 밀크 티,700,,
733,패션 푸르트 티,700,,
734,피치 젤리 아이스 티,700,,
735,피치 젤리 티,700,,
736,히비스커스 블렌드 티,700,,
700,티(티바나),,,
701,돌체 블랙 밀크 티,700,,
702,라임 패션 티,700,,
703,민트 블렌드 티,700,,
704,별궁 오미자 유스베리 티,700,,
705,스타벅스 파인애플 선셋 아이스 티,700,,
706,아이스 돌체 블랙 밀크 티,700,,
707,아이스 라임 패션 티,700,,
708,아이스 민트 블렌드 티,700,,
709,아이스 별궁 오미자 유스베리 티,700,,
710,아이스 얼 그레이 티,700,,
711,아이스 유스베리 티,700,,
712,아이스 유자 민트 티,700,,
713,아이스 잉글리쉬 브렉퍼스트 티,700,,
714,아이스 자몽 허니 블랙 티,700,,
715,아이스 제주 유기 녹차,700,,
716,아이스 제주 유기농 말차로 만든 라떼,700,,
717,아이스 차이 티 라떼,700,,
718,아이스 캐모마일 블렌드 티,700,,
719,아이스 콩고물 블랙 밀크 티,700,,
720,아이스 패션 푸르트 티,700,,
721,아이스 푸를 청귤 민트 티,700,,
722,아이스 히비스커스 블렌드 티,700,,
723,얼 그레이 티,700,,
724,유스베리 티,700,,
725,유자 민트 티,700,,
726,잉글리쉬 브렉퍼스트 티,700,,
727,자몽 허니 블랙 티,700,,
728,제주 유기 녹차,700,,
729,제주 유기농 말차로 만든 라떼,700,,
730,차이 티 라떼,700,,
731,캐모마일 블렌드 티,700,,
732,콩고물 블랙 밀크 티,700,,
733,패션 푸르트 티,700,,
734,피치 젤리 아이스 티,700,,
735,피치 젤리 티,700,,
736,히비스커스 블렌드 티,700,,
